top - 10:26:38 up 33 min,  1 user,  load average: 2,15, 1,62, 1,44
Tasks: 387 total,   1 running, 386 sleeping,   0 stopped,   0 zombie
%Cpu(s): 17,0 us,  5,9 sy,  0,0 ni, 76,3 id,  0,0 wa,  0,0 hi,  0,7 si,  0,0 st
MiB Mem :  31835,6 total,  22532,7 free,   4824,7 used,   4478,2 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  25848,3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  17488 root      20   0   11,8g 418292  28040 S 100,0   1,3   2:12.79 java
   2744 satrai    20   0   93,4g   1,3g 101464 S   0,0   4,1   2:55.57 java
   2842 satrai    20   0   20768   6828   3952 S   0,0   0,0   0:00.19 bash
   2890 satrai    20   0   86,3g  42464  36096 S   0,0   0,1   0:00.46 WebKitN+
   2892 satrai    20   0   86,6g 132584 100896 S   0,0   0,4   0:01.10 WebKitW+
   2918 satrai    20   0  102,4g 133440 101376 S   0,0   0,4   0:01.18 WebKitW+
   2944 satrai    20   0  171084   6688   5924 S   0,0   0,0   0:00.01 gvfsd-m+
   2947 satrai    20   0  429196  31732  22128 S   0,0   0,1   0:00.17 update-+
   3090 satrai    20   0 3963160 381220 201496 S   0,0   1,2   0:29.66 firefox
   3131 satrai    20   0  471356  10756   9508 S   0,0   0,0   0:00.48 xdg-des+
   3135 satrai    20   0  474496   6628   5956 S   0,0   0,0   0:00.01 xdg-doc+
   3145 satrai    20   0  502528  28888  19400 S   0,0   0,1   0:00.22 xdg-des+
   3187 satrai    20   0  208604  45392  37532 S   0,0   0,1   0:00.03 Socket +
   3228 satrai    20   0 2452800 120984  94452 S   0,0   0,4   0:00.57 Privile+
   3282 satrai    20   0 2451596 103456  83876 S   0,0   0,3   0:00.37 WebExte+
   3332 satrai    20   0  212068  41956  34144 S   0,0   0,1   0:00.03 Utility+
   3339 satrai    20   0 2660840 179924 114060 S   0,0   0,6   0:06.84 Isolate+
   3500 satrai    20   0 2416040  77184  65964 S   0,0   0,2   0:00.06 Web Con+
   3529 satrai    20   0 2416044  76848  65616 S   0,0   0,2   0:00.06 Web Con+
   3604 satrai    20   0  360064   5824   5192 S   0,0   0,0   0:00.17 sd_dummy
   3607 satrai    20   0  360096   5300   4680 S   0,0   0,0   0:00.16 sd_gene+
   3610 satrai    20   0  459004   8200   6632 S   0,0   0,0   0:00.18 sd_espe+
   3616 satrai    20   0  168368   2240   1968 S   0,0   0,0   0:00.00 speech-+
   3623 satrai    20   0 2416044  77288  66052 S   0,0   0,2   0:00.06 Web Con+
   4010 satrai    20   0   19648   5652   3836 S   0,0   0,0   0:00.05 bash
   4020 satrai    20   0   19648   5356   3556 S   0,0   0,0   0:00.04 bash
   4026 satrai    20   0   19648   5424   3624 S   0,0   0,0   0:00.06 bash
   4681 root      20   0       0      0      0 I   0,0   0,0   0:01.13 kworker+
   4906 root      20   0       0      0      0 I   0,0   0,0   0:00.26 kworker+
   5145 root      20   0       0      0      0 I   0,0   0,0   0:00.43 kworker+
   7248 satrai    20   0   19648   5532   3708 S   0,0   0,0   0:00.11 bash
   7585 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   7671 root      20   0       0      0      0 I   0,0   0,0   0:00.75 kworker+
   7679 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
   8000 root      20   0       0      0      0 I   0,0   0,0   0:00.19 kworker+
   8083 root      20   0       0      0      0 I   0,0   0,0   0:00.66 kworker+
   8841 root      20   0       0      0      0 I   0,0   0,0   0:00.17 kworker+
  10773 satrai    20   0 4262064 321916 163544 S   0,0   1,0   0:12.80 spyder3
  10795 satrai    20   0  581152 114984  43520 S   0,0   0,4   0:01.54 python3+
  10808 satrai    20   0  550680  92968  41824 S   0,0   0,3   0:01.23 python3+
  10839 uuidd     20   0   19232   1004    832 S   0,0   0,0   0:00.03 uuidd
  10841 satrai    20   0  967312 123808  34992 S   0,0   0,4   0:02.49 python3+
  10872 satrai    20   0  396468   8580   7616 S   0,0   0,0   0:00.03 gvfsd-n+
  10887 satrai    20   0  323752   8392   7424 S   0,0   0,0   0:00.02 gvfsd-d+
  11036 root      20   0       0      0      0 I   0,0   0,0   0:00.11 kworker+
  11428 root      20   0       0      0      0 I   0,0   0,0   0:00.10 kworker+
  11547 root      20   0       0      0      0 I   0,0   0,0   0:00.04 kworker+
  12545 root      20   0       0      0      0 I   0,0   0,0   0:00.13 kworker+
  14531 root      20   0       0      0      0 I   0,0   0,0   0:00.18 kworker+
  14532 root      20   0       0      0      0 I   0,0   0,0   0:00.05 kworker+
  14562 satrai    20   0  211792  40372  32648 S   0,0   0,1   0:00.01 RDD Pro+
  14800 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  14807 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
  14809 root      20   0       0      0      0 I   0,0   0,0   0:00.25 kworker+
  14833 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  14841 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  14873 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  14881 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15014 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15015 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15016 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15017 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15018 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15019 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15020 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15021 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15022 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15023 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker+
  15024 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15025 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15158 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15198 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  15876 root      20   0   20572   4752   4044 S   0,0   0,0   0:00.00 sudo
  15877 root      20   0   51076  33160  11836 S   0,0   0,1   0:00.46 python3
  15881 root      20   0   18212   3536   3264 S   0,0   0,0   0:00.00 bash
  15894 root      20   0 1156876   3176   2388 S   0,0   0,0   0:00.00 docker-+
