top - 15:28:20 up  4:25,  1 user,  load average: 2,42, 2,75, 2,22
Tasks: 389 total,   1 running, 388 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13,6 us,  0,8 sy,  0,0 ni, 85,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  31835,6 total,  20859,3 free,   4557,7 used,   6418,6 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  26111,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  69311 root      20   0   11,8g 193256  28516 S 100,0   0,6   1:49.03 java
    337 root      20   0   25388   8016   4068 S   0,0   0,0   0:04.54 system+
    345 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipmi-m+
    415 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cfg802+
    418 root     -51   0       0      0      0 S   0,0   0,0   0:01.90 irq/15+
    420 root     -51   0       0      0      0 S   0,0   0,0   0:00.05 irq/15+
    421 root     -51   0       0      0      0 S   0,0   0,0   0:00.04 irq/16+
    422 root     -51   0       0      0      0 S   0,0   0,0   0:00.07 irq/16+
    423 root     -51   0       0      0      0 S   0,0   0,0   0:00.03 irq/16+
    424 root     -51   0       0      0      0 S   0,0   0,0   0:00.07 irq/16+
    426 root     -51   0       0      0      0 S   0,0   0,0   0:00.04 irq/16+
    427 root     -51   0       0      0      0 S   0,0   0,0   0:00.04 irq/16+
    428 root     -51   0       0      0      0 S   0,0   0,0   0:00.04 irq/16+
    429 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 irq/16+
    444 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 cryptd
    471 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-+
    472 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-+
    473 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-+
    474 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-+
    671 root      20   0       0      0      0 S   0,0   0,0   0:00.31 jbd2/n+
    672 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-r+
    704 systemd+  20   0   24816  13608   9380 S   0,0   0,0   0:01.56 system+
    706 systemd+  20   0   90912   5888   5100 S   0,0   0,0   0:00.12 system+
    735 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 USBC00+
    739 root      10 -10    9908   5096   3980 S   0,0   0,0   0:01.85 ovsdb-+
    765 root      20   0  246904   7660   6752 S   0,0   0,0   0:00.46 accoun+
    766 root      20   0    2548    776    708 S   0,0   0,0   0:02.39 acpid
    768 avahi     20   0    8824   4000   3488 S   0,0   0,0   0:01.22 avahi-+
    770 root      20   0    8368   5028   4620 S   0,0   0,0   0:00.01 blueto+
    773 root      20   0   18056   2940   2672 S   0,0   0,0   0:00.02 cron
    775 root      20   0   37204   9112   7360 S   0,0   0,0   0:00.00 cupsd
    776 message+  20   0    9952   6524   3904 S   0,0   0,0   0:24.97 dbus-d+
    777 root      20   0  419268  20924  16852 S   0,0   0,1   0:07.33 Networ+
    783 root      20   0  231824   6520   5532 S   0,0   0,0   0:03.62 iio-se+
    784 root      20   0   81936   3656   3328 S   0,0   0,0   0:00.92 irqbal+
    787 root      20   0   48316  20712  11968 S   0,0   0,1   0:00.09 networ+
    790 root      20   0  249812  12960   7256 S   0,0   0,0   0:02.19 polkitd
    792 syslog    20   0  224352   5232   3672 S   0,0   0,0   0:00.72 rsyslo+
    797 root      20   0 1614540  44188  19932 S   0,0   0,1   0:08.26 snapd
    800 root      20   0  244344   6356   5696 S   0,0   0,0   0:00.02 switch+
    803 root      20   0   17464   8296   7172 S   0,0   0,0   0:18.27 system+
    804 root      20   0  282552  11068  10056 S   0,0   0,0   0:49.78 therma+
    806 root      20   0  393568  12840  10472 S   0,0   0,0   0:00.77 udisksd
    807 root      20   0   14208   9740   8660 S   0,0   0,0   0:01.00 wpa_su+
    819 avahi     20   0    8348    324      0 S   0,0   0,0   0:00.00 avahi-+
    855 root      20   0  176484  12792  11124 S   0,0   0,0   0:00.65 cups-b+
    867 root      20   0  315224  11872   9968 S   0,0   0,0   0:00.30 ModemM+
    870 root      20   0  247132   7464   6724 S   0,0   0,0   0:02.35 boltd
    976 root      10 -10  678268  90304  11640 S   0,0   0,3   0:18.23 ovs-vs+
    993 root      20   0 1800616  47624  31844 S   0,0   0,1   0:42.72 contai+
