"topic","app","bandwidth_12_001","bandwidth_8_001","bandwidth_9_001","bandwidth_10_001","bandwidth_11_001","bandwidth_13_001"
"topic23","app13","0.02869483642447661","0.8577635064698396","0.10356251427383803","0.05393875149406673","0.03823535658996489","0.023286637548894182"
"topic21","app8","0.03187708119252425","0.860905517977572","0.1040454093549155","0.05769818683974693","0.0411454695274218","0.025592120640502435"
"topic12","app2","0.03186184125981521","0.8789957362774325","0.10585143847589111","0.05567178718968334","0.041794087758668455","0.026996009406604102"
"topic20","app6","0.028157639864541294","0.883508156314498","0.10682455731277521","0.05375656624119886","0.038822719844311855","0.022366289691515013"
"topic28","app8","0.02843580137207895","0.8450103051154151","0.10252510029529435","0.055245853438140875","0.03761044477843166","0.022754496215957064"
"topic18","app12","0.028036966194455695","0.8522509264423309","0.09756418311304874","0.054248785599167106","0.0369087228764913","0.022705736688296233"
"topic11","app12","0.030462529687645342","0.8522603433601831","0.10304684512452596","0.05908802900999522","0.04076847396304085","0.025727426335426348"
"topic15","app6","0.028691991678061423","0.8404181936310522","0.10020519976100557","0.05298934759974956","0.03728178518090971","0.02298804779681145"
"topic19","app5","0.03193481257947443","0.8634038886017903","0.10662056411871562","0.059264760915749774","0.04091463621681641","0.02623872512871699"
"topic9","app8","0.031146746181851676","0.8529041237372407","0.10246145495938559","0.058069392723569806","0.04141241405729637","0.02579474440410395"
"topic14","app13","0.03506137907816031","0.857013077936071","0.11102629123090743","0.06285801958980522","0.044372714210979554","0.028984250601675098"
"topic12","app10","0.03136801409933006","0.8789957362774334","0.10612896117766506","0.05539513012917179","0.042113615413439415","0.02696539325659875"
"topic14","app5","0.035253836149417433","0.8567994910544363","0.11117002747490264","0.06254407092515962","0.044324691287388404","0.029336427644088184"
"topic7","app5","0.032059609524110834","0.8625273559011882","0.10774303299800263","0.0604025118959698","0.04174150675817263","0.025999063327842815"
"topic9","app2","0.03132388067057578","0.8528611017015624","0.10511895621405791","0.057807168686313706","0.041218745332371416","0.025753428194693645"
"topic3","app2","0.027247071728012533","0.8815487929329742","0.10020129422099151","0.05953528237361221","0.03551238911150052","0.02482875384568237"
"topic25","app7","0.028331278269335482","0.8567059917913429","0.1010604035091452","0.05473604121406349","0.0375341104619172","0.023400927514757343"
"topic13","app12","0.0315011188805721","0.8521124186455926","0.10519369731497254","0.05884820994200515","0.04136357660957272","0.02608146292652957"
"topic10","app11","0.028365766043577198","0.8563380313030585","0.0999675389527503","0.0552218635011383","0.037224936130289585","0.02265319999724716"
"topic20","app14","0.028213593216753194","0.8836986325049744","0.10650930880775378","0.05364389018486598","0.03833718991394752","0.022190005036883776"
"topic8","app6","0.02831565661105981","0.8533867880562858","0.10178638519747497","0.054517446543638284","0.037617727292395375","0.023231652567553253"
"topic8","app14","0.02829370163070143","0.8535106297467738","0.10008453808488324","0.05449047819651265","0.03755006431660204","0.023096457709975433"
"topic7","app8","0.03176694931441773","0.8624038743230309","0.10773345816598419","0.06040017161824274","0.04173054639152332","0.02598334943406881"
"topic23","app3","0.02862276435239322","0.8579617292996438","0.10370506045352931","0.054363746797472585","0.03810818493560768","0.02345583315846554"
"topic4","app13","0.02855388747112582","0.8574302821848554","0.10496072413070578","0.053139761754434474","0.0354725742435418","0.024175072592542073"
"topic2","app7","0.03812704841429431","0.8717904887345198","0.11164248478538752","0.06335898380232315","0.04825282251932048","0.03217749158007304"
"topic5","app4","0.031191055720930224","0.850934997179922","0.10952132749745694","0.05961155827433311","0.04130041924509802","0.025644787086507827"
"topic18","app10","0.028045299527790158","0.8522430759163455","0.09731979552675292","0.0540378006830301","0.036885765869436773","0.02278725728631463"
"topic24","app14","0.02804920336583594","0.8576435483651607","0.10394024872611855","0.05436843789772708","0.03755007630822079","0.023320740745504377"
"topic21","app1","0.03200950825284308","0.8609889170534172","0.1048377811753394","0.059600860863021875","0.04145784300379201","0.02553573952162202"
"topic13","app10","0.03157758654204047","0.851982548515721","0.10569099166342244","0.058361115292611225","0.04123915448452621","0.026000413659619668"
"topic16","app3","0.03125459742686732","0.8590805334533019","0.10616993220277855","0.05804964070230023","0.040552959840616576","0.025891253048889274"
"topic19","app13","0.031773597986268734","0.8633121264933326","0.10283721834243766","0.05931935275248354","0.04089674901142922","0.026041943777687482"
"topic1","app1","0.03370707305797984","0.8242510070173676","0.08621206413506155","0.05499078368145872","0.04469593568374653","0.028749648095910275"
"topic30","app15","0.03192095198382195","0.8540250793094813","0.11158798502656712","0.058052489698677344","0.04166862238833657","0.02616288983119421"
"topic11","app15","0.030997416287956065","0.8519470903481301","0.10353017845786017","0.05920764453153383","0.041045878615583065","0.02564924032617626"
"topic28","app14","0.028554254953504974","0.845194795175278","0.10248900548493901","0.055298509580215933","0.03765157031955717","0.022922471098214624"
"topic30","app16","0.03199994092539376","0.8543223192245557","0.11142673534150332","0.058794949095422405","0.040858584968130426","0.0264450530827774"
"topic24","app15","0.02801124879679127","0.8575717629175185","0.10373671983748448","0.05397008706295764","0.03742213654179542","0.02324065706181934"
"topic29","app9","0.03294444168107733","0.8790531253035291","0.08575878337510448","0.03958550091076631","0.02935765092880871","0.021768256718849043"
"topic29","app11","0.03212572823078556","0.8790531253035189","0.08593307531412295","0.039905500910778074","0.028872802443960666","0.02200494310933174"
"topic12","app9","0.031709894441198844","0.8795512918329936","0.10574532685464201","0.055740951454813926","0.041766302745210176","0.027118474006688178"
