"1690724544919","topic_printing/app_app11","8"
"1690724544933","topic_firedetection/app_app22","17"
"1690724544933","topic_firedetection/app_app23","25"
"1690724544933","topic_firedetection/app_app1","30"
"1690724545017","topic_videosurveillance/app_app38","123"
"1690724545017","topic_videosurveillance/app_app36","171"
"1690724545017","topic_videosurveillance/app_app2","194"
"1690724545019","topic_bms/app_app21","271"
"1690724545019","topic_bms/app_app2","293"
"1690724545091","topic_intrusiondetection/app_app21","475"
"1690724545091","topic_intrusiondetection/app_app36","650"
"1690724545091","topic_intrusiondetection/app_app2","708"
"1690724545914","topic_amazonecho/app_app21","4"
"1690724545914","topic_occupancymanagement/app_app12","5"
"1690724545914","topic_occupancymanagement/app_app21","5"
"1690724545914","topic_smartthings/app_app1","6"
"1690724545914","topic_smartthings/app_app22","7"
"1690724545919","topic_printing/app_app2","6"
"1690724545919","topic_printing/app_app11","9"
"1690724545934","topic_firedetection/app_app22","16"
"1690724545934","topic_firedetection/app_app23","23"
"1690724545934","topic_firedetection/app_app1","27"
"1690724545954","topic_energymanagement/app_app2","31"
"1690724545954","topic_energymanagement/app_app1","37"
"1690724546020","topic_videosurveillance/app_app38","120"
"1690724546020","topic_videosurveillance/app_app36","172"
"1690724546020","topic_videosurveillance/app_app2","192"
"1690724546023","topic_bms/app_app21","271"
"1690724546023","topic_bms/app_app2","296"
"1690724546104","topic_intrusiondetection/app_app21","459"
"1690724546104","topic_intrusiondetection/app_app36","564"
"1690724546915","topic_smartthings/app_app1","4"
"1690724546915","topic_amazonecho/app_app21","4"
"1690724546915","topic_smartthings/app_app22","5"
"1690724546915","topic_occupancymanagement/app_app12","6"
"1690724546915","topic_occupancymanagement/app_app21","6"
"1690724546920","topic_printing/app_app2","7"
"1690724546920","topic_printing/app_app11","8"
"1690724546935","topic_firedetection/app_app22","17"
"1690724546935","topic_firedetection/app_app23","24"
"1690724546935","topic_firedetection/app_app1","28"
"1690724546955","topic_energymanagement/app_app2","28"
"1690724546955","topic_energymanagement/app_app1","38"
"1690724547023","topic_videosurveillance/app_app38","133"
"1690724547023","topic_videosurveillance/app_app36","194"
"1690724547023","topic_videosurveillance/app_app2","230"
"1690724547028","topic_bms/app_app21","245"
"1690724547117","topic_intrusiondetection/app_app21","429"
"1690724547117","topic_intrusiondetection/app_app36","581"
"1690724547117","topic_intrusiondetection/app_app2","659"
"1690724547916","topic_smartthings/app_app1","4"
"1690724547916","topic_occupancymanagement/app_app12","5"
"1690724547916","topic_smartthings/app_app22","6"
"1690724547916","topic_occupancymanagement/app_app21","6"
"1690724547916","topic_amazonecho/app_app21","6"
"1690724547921","topic_printing/app_app2","5"
"1690724547921","topic_printing/app_app11","8"
"1690724547936","topic_firedetection/app_app22","17"
"1690724547936","topic_firedetection/app_app23","25"
"1690724547936","topic_firedetection/app_app1","29"
"1690724547956","topic_energymanagement/app_app2","36"
"1690724547956","topic_energymanagement/app_app1","44"
"1690724548028","topic_videosurveillance/app_app38","128"
"1690724548028","topic_videosurveillance/app_app36","177"
"1690724548028","topic_videosurveillance/app_app2","194"
"1690724548044","topic_bms/app_app21","252"
"1690724548044","topic_bms/app_app2","282"
"1690724548127","topic_intrusiondetection/app_app21","441"
"1690724548127","topic_intrusiondetection/app_app36","627"
"1690724548127","topic_intrusiondetection/app_app2","669"
"1690724548916","topic_amazonecho/app_app21","3"
"1690724548916","topic_smartthings/app_app1","4"
"1690724548916","topic_occupancymanagement/app_app12","5"
"1690724548916","topic_occupancymanagement/app_app21","6"
"1690724548916","topic_smartthings/app_app22","6"
"1690724548921","topic_printing/app_app2","5"
"1690724548921","topic_printing/app_app11","9"
"1690724548937","topic_firedetection/app_app22","17"
"1690724548937","topic_firedetection/app_app23","23"
"1690724548937","topic_firedetection/app_app1","27"
"1690724548958","topic_energymanagement/app_app2","31"
"1690724548958","topic_energymanagement/app_app1","36"
"1690724549031","topic_videosurveillance/app_app38","124"
"1690724549031","topic_videosurveillance/app_app36","183"
"1690724549031","topic_videosurveillance/app_app2","200"
"1690724549049","topic_bms/app_app21","258"
"1690724549049","topic_bms/app_app2","284"
"1690724549140","topic_intrusiondetection/app_app21","462"
"1690724549140","topic_intrusiondetection/app_app36","632"
"1690724549140","topic_intrusiondetection/app_app2","677"
"1690724549917","topic_amazonecho/app_app21","3"
"1690724549917","topic_occupancymanagement/app_app12","4"
"1690724549917","topic_smartthings/app_app1","5"
"1690724549917","topic_occupancymanagement/app_app21","6"
"1690724549917","topic_smartthings/app_app22","6"
"1690724549922","topic_printing/app_app2","5"
"1690724549922","topic_printing/app_app11","8"
"1690724549937","topic_firedetection/app_app22","17"
"1690724549937","topic_firedetection/app_app23","24"
"1690724549937","topic_firedetection/app_app1","27"
"1690724549959","topic_energymanagement/app_app2","31"
"1690724549959","topic_energymanagement/app_app1","37"
"1690724550035","topic_videosurveillance/app_app38","121"
"1690724550035","topic_videosurveillance/app_app36","174"
"1690724550035","topic_videosurveillance/app_app2","198"
"1690724550053","topic_bms/app_app21","252"
"1690724550053","topic_bms/app_app2","269"
"1690724550151","topic_intrusiondetection/app_app21","399"
"1690724550917","topic_amazonecho/app_app21","4"
"1690724550917","topic_smartthings/app_app1","4"
